ODATEDW,OSOURCE,TCODE,STATE,ZIP,MAILCODE,PVASTATE,DOB,NOEXCH,RECINHSE,RECP3,RECPGVG,RECSWEEP,MDMAUD,DOMAIN,CLUSTER,AGE,AGEFLAG,HOMEOWNR,CHILD03,CHILD07,CHILD12,CHILD18,NUMCHLD,INCOME,GENDER,WEALTH1,HIT,MBCRAFT,MBGARDEN,MBBOOKS,MBCOLECT,MAGFAML,MAGFEM,MAGMALE,PUBGARDN,PUBCULIN,PUBHLTH,PUBDOITY,PUBNEWFN,PUBPHOTO,PUBOPP,DATASRCE,MALEMILI,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,SOLP3,SOLIH,MAJOR,WEALTH2,GEOCODE,COLLECT1,VETERANS,BIBLE,CATLG,HOMEE,PETS,CDPLAY,STEREO,PCOWNERS,PHOTO,CRAFTS,FISHER,GARDENIN,BOATS,WALKER,KIDSTUFF,CARDS,PLATES,LIFESRC,PEPSTRFL,POP901,POP902,POP903,POP90C1,POP90C2,POP90C3,POP90C4,POP90C5,ETH1,ETH2,ETH3,ETH4,ETH5,ETH6,ETH7,ETH8,ETH9,ETH10,ETH11,ETH12,ETH13,ETH14,ETH15,ETH16,AGE901,AGE902,AGE903,AGE904,AGE905,AGE906,AGE907,CHIL1,CHIL2,CHIL3,AGEC1,AGEC2,AGEC3,AGEC4,AGEC5,AGEC6,AGEC7,CHILC1,CHILC2,CHILC3,CHILC4,CHILC5,HHAGE1,HHAGE2,HHAGE3,HHN1,HHN2,HHN3,HHN4,HHN5,HHN6,MARR1,MARR2,MARR3,MARR4,HHP1,HHP2,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,HV1,HV2,HV3,HV4,HU1,HU2,HU3,HU4,HU5,HHD1,HHD2,HHD3,HHD4,HHD5,HHD6,HHD7,HHD8,HHD9,HHD10,HHD11,HHD12,ETHC1,ETHC2,ETHC3,ETHC4,ETHC5,ETHC6,HVP1,HVP2,HVP3,HVP4,HVP5,HVP6,HUR1,HUR2,RHP1,RHP2,RHP3,RHP4,HUPA1,HUPA2,HUPA3,HUPA4,HUPA5,HUPA6,HUPA7,RP1,RP2,RP3,RP4,MSA,ADI,DMA,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC13,IC14,IC15,IC16,IC17,IC18,IC19,IC20,IC21,IC22,IC23,HHAS1,HHAS2,HHAS3,HHAS4,MC1,MC2,MC3,TPE1,TPE2,TPE3,TPE4,TPE5,TPE6,TPE7,TPE8,TPE9,PEC1,PEC2,TPE10,TPE11,TPE12,TPE13,LFC1,LFC2,LFC3,LFC4,LFC5,LFC6,LFC7,LFC8,LFC9,LFC10,OCC1,OCC2,OCC3,OCC4,OCC5,OCC6,OCC7,OCC8,OCC9,OCC10,OCC11,OCC12,OCC13,EIC1,EIC2,EIC3,EIC4,EIC5,EIC6,EIC7,EIC8,EIC9,EIC10,EIC11,EIC12,EIC13,EIC14,EIC15,EIC16,OEDC1,OEDC2,OEDC3,OEDC4,OEDC5,OEDC6,OEDC7,EC1,EC2,EC3,EC4,EC5,EC6,EC7,EC8,SEC1,SEC2,SEC3,SEC4,SEC5,AFC1,AFC2,AFC3,AFC4,AFC5,AFC6,VC1,VC2,VC3,VC4,ANC1,ANC2,ANC3,ANC4,ANC5,ANC6,ANC7,ANC8,ANC9,ANC10,ANC11,ANC12,ANC13,ANC14,ANC15,POBC1,POBC2,LSC1,LSC2,LSC3,LSC4,VOC1,VOC2,VOC3,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,HC9,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20,HC21,MHUC1,MHUC2,AC1,AC2,ADATE_2,ADATE_3,ADATE_4,ADATE_5,ADATE_6,ADATE_7,ADATE_8,ADATE_9,ADATE_10,ADATE_11,ADATE_12,ADATE_13,ADATE_14,ADATE_15,ADATE_16,ADATE_17,ADATE_18,ADATE_19,ADATE_20,ADATE_21,ADATE_22,ADATE_23,ADATE_24,RFA_2,RFA_3,RFA_4,RFA_5,RFA_6,RFA_7,RFA_8,RFA_9,RFA_10,RFA_11,RFA_12,RFA_13,RFA_14,RFA_15,RFA_16,RFA_17,RFA_18,RFA_19,RFA_20,RFA_21,RFA_22,RFA_23,RFA_24,CARDPROM,MAXADATE,NUMPROM,CARDPM12,NUMPRM12,RDATE_3,RDATE_4,RDATE_5,RDATE_6,RDATE_7,RDATE_8,RDATE_9,RDATE_10,RDATE_11,RDATE_12,RDATE_13,RDATE_14,RDATE_15,RDATE_16,RDATE_17,RDATE_18,RDATE_19,RDATE_20,RDATE_21,RDATE_22,RDATE_23,RDATE_24,RAMNT_3,RAMNT_4,RAMNT_5,RAMNT_6,RAMNT_7,RAMNT_8,RAMNT_9,RAMNT_10,RAMNT_11,RAMNT_12,RAMNT_13,RAMNT_14,RAMNT_15,RAMNT_16,RAMNT_17,RAMNT_18,RAMNT_19,RAMNT_20,RAMNT_21,RAMNT_22,RAMNT_23,RAMNT_24,RAMNTALL,NGIFTALL,CARDGIFT,MINRAMNT,MINRDATE,MAXRAMNT,MAXRDATE,LASTGIFT,LASTDATE,FISTDATE,NEXTDATE,TIMELAG,AVGGIFT,CONTROLN,HPHONE_D,RFA_2R,RFA_2F,RFA_2A,MDMAUD_R,MDMAUD_F,MDMAUD_A,CLUSTER2,GEOCODE2
9301,PV3,0,WI,53558, , ,1702,0,X, , , ,XXXX,T1,35,81, , , , , , ,,1,F,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,19,40,28,6,11,5, , , ,8,05, , , , , , , , , , , , , , , , , , , , ,2169,599,747,99,0,0,50,50,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,39,40,31,42,44,31,39,43,18,10,24,31,16,8,7,2,14,17,38,19,12,13,4,12,15,31,54,36,13,2,70,9,2,19,223,290,88,82,6,11,4,3,0,0,0,871,923,4,4,82,18,94,6,70,46,80,73,41,90,10,5,2,4,11,11,5,26,63,9,0,0,0,1,7,30,68,91,0,4,63,62,61,16,4,8,3,1,8,6,3,0,21,50,78,92,4720,113,669,456,470,452,493,14989,7,11,15,33,27,6,1,0,0,3,5,15,38,30,8,1,0,0,10,3,43,5,49,51,6,86,8,0,0,0,0,2,2,3,0,3,18,18,0,69,84,91,76,88,75,82,70,60,99,4,10,18,5,13,19,0,1,9,2,10,5,6,2,2,0,5,11,5,3,9,15,9,7,3,1,12,9,1,7,6,11,5,6,66,6,0,139,1,10,29,22,16,17,5,2,31,2,26,5,0,0,0,11,19,2,40,0,28,18,0,2,0,23,0,0,1,1,6,1,0,0,0,1,0,0,83,98,0,0,2,99,78,18,5,19,9,24,27,62,78,22,0,0,88,0,7,3,0,2,97,2,96,99,99,9,3,2,3,9706,9606,9604,9604,9603,9602,9601,9511,9510,9511,9509,9507,9506,9504,9503,9502,9501,9411,9411,9410,9409,9407,9406,L1G,A1G,A1G,A1G,A1G,A2G,A2G,A1F,A1F,A1F,A1F,A1F,A1F,A2F,A2F,A1E,A1E,A2E,A2E,A2E,A2E,A2E,A1D,19,9702,42,7,14,,,,,,,,,,9510,,,,,,,,9412,,,,,,,,,,,,,,29,,,,,,,,24,,,,,92,6,3,3,9302,29,9510,15,9702,9302,9310,8,15.333333333,188946,1,L,1,G,X,X,X,15,B
9501,CNT,0,TX,78501, , ,1501,0, , , , ,XXXX,C1,23,83,E,U, , , , ,,2,F,8,0,,,,,,,,,,,,,,,3,0,56,28,52,3,16,7, , , ,, , , , , , , , , , , , , , , , , , , , , ,474,158,207,87,0,13,46,54,96,0,0,0,31,0,0,0,0,0,0,0,27,0,0,4,62,65,66,51,59,61,16,30,36,34,6,9,9,8,14,39,16,11,14,31,19,25,66,18,64,24,52,25,16,8,2,73,4,10,13,151,229,38,30,1,1,0,0,0,0,0,645,724,4,2,91,9,62,38,77,17,76,73,16,88,12,1,0,1,6,20,0,11,32,53,0,0,0,1,6,17,30,79,0,3,22,41,44,13,3,1,0,60,5,0,0,2,29,36,43,50,4880,435,636,368,489,453,508,20703,13,21,12,13,25,10,0,0,5,4,25,9,15,29,12,0,0,6,66,3,75,4,26,74,17,87,5,0,0,0,0,0,8,0,4,0,15,17,0,50,35,41,29,35,29,76,58,0,0,0,25,20,0,27,16,0,0,0,0,12,0,0,0,0,0,3,9,0,0,19,29,0,5,0,0,0,21,7,7,3,16,7,7,68,0,0,120,20,10,26,26,0,11,6,5,9,4,6,4,0,0,0,30,56,5,28,39,52,9,0,0,0,22,0,0,0,1,0,0,0,0,0,2,0,6,45,86,14,0,0,99,49,23,8,12,0,23,45,75,81,19,0,0,51,0,49,0,0,0,91,3,55,99,99,10,1,11,9,9706,9606,9604,,9603,9602,9601,9511,9510,9509,9508,9507,9506,,,9501,9412,,,,,,,L1F,A1F,A1F, ,N2F,N1E,N1E,N1E,N1E,N1E,N1E,F1E,F1E, , ,P1E,P1E, , , , , , ,9,9702,21,4,10,,,,,,,,,9510,,,,,,,9501,,,,,,,,,,,,,,,20,,,,,,,10,,,,,,,30,2,1,10,9501,20,9510,20,9510,9501,9510,9,15,126296,1,L,1,F,X,X,X,13,B
9101,L01,1,CA,92392, , ,3001,0, , , , ,XXXX,C2,27,68,E,U, , , , ,,1,M,3,0,,,,,,,,,,,,,,,3,3,38,24,29,11,2,3, , , ,4,12, ,Y,Y, , , ,Y,Y, , ,Y, ,Y, ,Y, , , ,2, ,3712,968,1399,99,0,0,49,51,78,7,1,4,20,0,0,0,3,0,0,0,14,1,0,4,29,36,40,32,42,46,29,49,37,15,15,30,19,10,10,11,5,20,21,34,15,10,25,11,22,26,30,44,29,12,4,62,13,6,18,181,265,62,61,0,32,32,28,0,0,0,1118,1153,4,5,62,38,90,10,3,40,69,59,33,84,16,7,2,5,14,20,5,19,45,14,2,4,1,1,8,69,96,99,0,8,39,51,49,14,5,20,13,4,7,4,25,0,35,56,94,96,6780,13,803,339,412,376,430,14109,20,14,16,24,18,5,2,0,1,10,9,18,30,26,4,2,0,1,27,7,31,6,90,10,12,77,17,0,0,0,0,0,2,4,0,22,22,36,22,51,67,78,56,73,50,57,59,71,99,1,10,9,3,16,18,0,3,10,0,15,3,8,4,0,0,7,9,5,5,5,25,5,8,1,1,8,7,7,5,11,2,3,7,74,4,0,123,2,15,32,28,11,10,3,3,27,3,18,10,2,3,0,19,38,2,24,20,29,25,1,5,2,9,0,0,4,2,1,2,0,0,0,0,0,8,54,82,11,3,4,91,59,15,1,4,37,82,91,97,99,0,1,3,89,1,10,0,0,1,98,2,71,99,98,9,2,4,6,9706,9606,9604,9604,9603,9602,9601,9511,9510,9509,9508,9507,9506,9504,9503,9502,9412,9411,9411,9410,9409,9407,9406,L1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,24,9702,61,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,9,2,10,9207,35,9110,25,9512,9101,9110,9,24.444444444,155244,1,L,1,G,X,X,X,34,A
9401,HAM,0,TX,77625-, , ,4909,0, , , , ,XXXX,R2,43,48, , , , , , ,,,M,,0,,,,,,,,,,,,,,, ,0,36,42,39,8,6,1, , , ,1, , ,Y,Y, , ,Y, ,Y,Y, ,Y,Y, , , , , , ,3, ,4724,1390,1721,0,0,99,51,49,96,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,34,43,46,36,46,49,27,37,42,21,11,20,20,16,14,11,7,14,16,35,20,15,27,8,24,18,35,47,28,12,4,68,10,7,16,191,274,66,66,0,1,0,0,0,0,0,523,551,2,2,88,12,86,14,34,39,81,70,32,91,9,7,3,4,10,13,1,21,56,18,1,2,0,0,2,8,26,53,0,4,35,49,50,15,5,1,0,32,6,0,0,5,5,9,17,49,840,247,692,236,263,283,314,12562,28,25,18,17,9,2,0,0,1,21,25,18,20,11,2,0,0,1,33,10,26,13,37,63,4,71,25,0,0,0,0,0,2,2,1,58,29,33,11,73,55,67,44,61,40,49,37,57,75,8,8,5,3,16,13,0,1,4,3,22,9,10,5,3,3,14,19,5,4,6,18,4,4,1,1,4,7,3,4,8,6,1,8,74,3,0,120,9,20,41,18,2,7,2,1,23,1,20,3,0,0,0,18,36,0,42,17,39,4,0,6,3,4,0,0,9,1,0,0,0,0,0,0,0,1,77,97,2,0,2,96,61,18,8,15,3,14,35,69,84,16,0,0,6,32,48,1,0,12,22,78,6,98,92,9,2,8,7,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,9507,9506,,9503,9502,9412,9411,9411,9410,9409,,9406,L1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F,A1F, ,A1F,N1D,N1D,N1D,N1D,N1D,N1D, ,F1D,14,9702,32,6,12,,,,,,,,9512,,,,,,,,,,,,9412,,,,,,,,,,19,,,,,,,,,,,,17,,,41,3,2,5,9311,19,9512,19,9512,9311,9412,13,13.666666667,123985,0,L,1,F,X,X,X,58,B
9201,NAS,2,TX,76051, , ,5406,0, , , , ,XXXX,S1,14,44,E,H, , ,M,M,1,7,F,9,15,0,0,2,0,3,0,0,1,0,0,3,0,0,0,3,0,32,60,13,4,1,2, , , ,9,03, , , , , , , , , , , , , , , , , , , ,X,6142,1774,1915,99,0,0,50,50,96,1,0,2,3,0,0,1,0,0,0,0,2,0,0,1,32,38,39,29,40,41,34,43,39,18,7,25,40,19,6,2,1,17,19,34,20,10,5,1,3,6,28,66,42,14,3,80,4,1,15,266,320,99,99,0,0,0,0,0,0,0,1744,2214,9,7,96,4,96,4,0,59,93,89,56,96,4,3,1,2,5,4,2,28,65,3,0,1,0,39,68,98,99,99,21,0,95,79,78,18,4,0,0,1,3,0,0,0,60,63,69,81,2800,109,623,784,793,850,856,30888,1,2,3,8,32,24,14,7,9,1,1,3,9,30,25,15,8,9,5,2,64,1,82,18,46,89,7,0,0,0,0,0,1,3,1,42,22,26,2,79,74,89,61,88,57,52,49,99,99,0,23,34,5,18,11,1,0,3,0,2,1,0,1,0,1,3,13,10,9,12,11,7,7,1,1,7,6,6,3,4,1,2,4,84,4,1,160,0,3,12,19,7,39,20,5,28,4,23,5,0,0,0,16,32,1,60,6,13,7,0,6,2,12,0,0,3,2,0,1,0,0,2,1,0,3,34,94,3,0,2,99,89,35,3,4,18,81,87,97,99,1,0,0,72,4,23,0,0,1,99,0,94,99,99,16,4,3,1,9706,9606,9604,,9603,9602,9601,9511,9510,9510,9509,9507,9506,,9503,9502,9501,9411,9411,9410,9409,,9406,L3E,A3E,A3E, ,A2D,A2D,A2D,A2D,A2D,A2D,A2D,A3D,A2D, ,A2D,A2D,A2D,A2D,A1D,A1D,A1D, ,A1D,17,9702,47,5,12,,,,,9603,,,,,9511,,,,9505,,,,,9411,,,9407,,,,,10,,,,,6,,,,7,,,,,5,,,5,46,8,5,3,9202,10,9603,10,9603,9202,9210,8,5.75,119118,1,L,3,E,X,X,X,2,A
8601,WKB,2,CO,80011, ,P,3701,0, , , ,X,XXXX,C3,31,61,E,U, , , , ,,2,F,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,45,25,47,9,3,4, ,12, ,0, , , , , , , , , , , , , , , , , , , , , ,1830,507,844,99,0,0,46,54,62,35,1,1,8,0,0,0,0,0,0,0,4,1,0,2,30,42,48,34,45,49,30,56,36,8,14,25,14,11,15,15,6,23,24,34,13,6,23,10,22,35,35,30,13,6,2,39,26,8,27,143,216,8,3,1,51,50,42,0,0,0,675,722,2,2,46,54,83,17,3,33,60,29,8,77,23,25,1,24,22,24,5,10,32,19,17,17,1,0,0,9,45,86,0,7,11,39,42,12,4,16,35,41,6,7,36,4,4,19,37,57,2080,241,751,144,163,200,221,9785,51,20,13,12,3,0,0,0,1,47,18,15,15,3,0,0,0,2,35,16,31,36,71,29,25,77,8,10,10,0,0,0,5,0,1,92,23,28,7,77,55,65,48,59,44,40,7,47,99,50,5,16,3,9,24,0,0,12,1,18,3,6,2,1,1,12,11,4,0,6,19,7,6,10,0,4,10,2,7,9,3,4,7,68,9,0,120,7,20,36,27,7,3,1,3,22,1,17,7,1,1,0,22,45,5,25,31,47,8,0,3,0,9,0,0,4,1,0,0,0,0,0,1,0,2,35,96,1,0,2,81,30,4,3,17,2,3,20,73,99,1,3,3,76,1,22,0,0,0,82,17,97,99,91,7,3,7,8,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9509,,,,9503,9502,9501,9411,,9410,9409,,9406,L1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G,A1G, , , ,L1G,L1G,L1G,L1G, ,L1G,L1G, ,A1G,24,9702,83,5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,8,1,0,9701,25,9304,0,9701,8611,8612,1,16.875,10120,1,L,1,G,X,X,X,50,B
9601,ARB,1,IN,46074, , ,6601,0, , , , ,XXXX,T2,40,32,E,U, , , , ,1,3,M,,0,,,,,,,,,,,,,,,2,0,20,29,56,6,3,3, , , ,, , , , , , , , , , , , , , , , , , , , , ,987,267,349,0,0,99,52,48,99,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,29,37,39,31,40,44,28,45,37,18,14,29,23,16,9,6,4,17,18,34,14,17,15,7,15,18,30,52,32,11,4,64,9,4,22,210,282,66,65,2,7,6,5,0,0,0,723,756,3,2,74,26,95,5,6,42,77,68,36,87,13,6,2,3,16,10,5,24,66,9,0,0,0,0,2,18,46,78,0,3,51,55,56,15,5,4,3,27,13,2,4,7,4,11,33,77,3480,83,527,316,370,380,460,14570,30,9,11,21,17,8,0,0,3,12,13,16,25,20,11,0,0,4,14,5,55,6,41,59,12,78,12,0,0,0,0,0,5,5,0,41,24,27,0,88,81,93,70,93,66,55,30,99,99,0,7,8,2,13,15,0,0,14,8,16,7,7,4,10,1,13,14,7,2,2,12,11,7,7,0,5,6,0,3,6,3,3,11,74,2,0,120,6,12,41,19,6,7,8,8,10,1,12,5,0,0,0,9,20,0,29,0,56,15,1,6,1,15,0,0,7,0,3,0,0,0,1,0,0,0,80,97,1,0,3,99,80,41,6,22,0,16,24,52,62,38,0,0,4,12,45,34,2,3,5,95,5,99,90,7,2,4,2,9706,9606,9604,,9603,9602,9601,,,9510,9509,,,,,,,,,,,,,L1F,F1F,F1F, ,F1F,F1F,F1F, , ,P1A,P1F, , , , , , , , , , , , ,6,9702,15,4,10,,,,,,,,,,9510,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,20,1,1,20,9510,20,9510,20,9510,9510,,,20,59465,1,L,1,F,X,X,X,43,B
8801,FRC,2,WI,54469, , ,1203,0, , , , ,XXXX,T2,36,86,E,H, , , , ,,2,F,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,36,24,42,12,2,1, , , ,5, , , , , , , , , , , , , , , , , , , , ,X,519,156,222,0,0,99,47,53,97,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,37,47,49,39,49,52,24,42,40,18,9,21,16,16,14,13,12,13,21,35,18,13,33,15,32,27,40,33,18,7,2,66,9,9,17,158,234,90,89,6,9,3,3,0,0,0,407,437,3,3,80,20,95,5,0,31,70,60,24,85,15,7,1,6,10,23,3,19,54,24,0,0,0,0,1,1,1,24,0,2,60,57,58,13,4,9,0,0,11,5,4,0,0,2,49,88,0,115,705,284,347,315,359,14119,19,23,20,22,15,0,0,1,0,8,23,19,30,18,0,0,1,0,40,2,61,9,34,66,5,76,7,0,0,0,0,0,16,1,0,9,13,16,2,36,59,70,50,65,48,56,39,65,99,8,11,6,8,8,15,0,0,12,3,11,14,4,9,3,0,6,28,1,3,1,22,3,5,4,0,8,9,5,3,12,2,1,3,75,8,0,120,6,9,48,17,6,11,3,3,20,1,16,6,0,0,0,17,36,0,24,27,42,0,1,2,0,21,0,0,2,0,2,5,0,0,0,0,0,2,83,96,1,2,1,97,50,17,15,48,0,0,0,2,10,90,0,0,69,0,1,26,0,4,99,0,99,99,99,5,2,8,7,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9508,9507,9506,9504,9503,9502,9501,9411,9411,9410,9409,9407,9406,L3D,S3D,S3D,S4D,S4D,S4D,S4D,S4D,S4D,S4D,S4D,S4D,S4D,S4D,S4D,S4C,S4C,S4C,S4C,S4C,S4C,S4C,S3C,26,9702,64,5,10,,,,,,,,,,,,9507,,9503,9502,,,9412,9411,,,,,,,,,,,,,,,5,,3,3,,,5,3,,,,81,28,13,2,9504,5,9112,5,9507,8905,8910,5,2.8928571429,80803,0,L,3,D,X,X,X,39,C
9601,ARG,0,MO,63141, , ,3201,0, ,X, , ,XXXX,S1,11,66,E,H, , , , ,,7,F,,0,,,,,,,,,,,,,,,2,0,23,29,42,1,1,1, , , ,, , , , , , , , , , , , , , , , , , , , , ,3320,822,1331,99,0,0,49,51,93,3,0,4,1,2,1,0,1,1,0,0,0,0,0,1,35,42,45,37,44,47,19,30,40,30,14,22,19,20,11,7,6,12,13,31,25,19,13,2,11,29,35,37,21,7,2,53,7,6,34,161,240,58,57,0,42,42,36,4,4,0,1934,2267,6,6,58,42,96,4,6,27,62,54,23,76,24,4,1,3,24,18,10,14,64,15,0,2,0,45,86,98,99,99,18,6,60,74,62,13,4,15,27,0,2,6,34,0,66,95,99,99,7040,75,609,615,1000,780,980,40010,3,11,8,16,21,8,6,6,21,1,3,5,11,20,10,9,10,31,11,0,67,2,45,55,18,93,3,0,0,0,0,0,1,3,3,22,18,21,2,66,74,85,64,84,63,70,60,92,99,0,32,23,4,22,8,0,0,5,0,4,1,0,1,0,1,3,17,3,3,7,14,12,5,0,2,13,8,11,2,1,1,1,10,74,11,1,160,2,5,9,14,5,45,21,14,12,1,16,8,0,0,0,12,23,1,29,14,42,10,0,4,0,13,0,0,7,3,0,4,0,4,1,0,1,7,55,91,3,4,3,99,70,23,4,17,0,4,7,61,95,5,0,0,53,1,45,0,0,0,99,0,99,99,99,12,4,6,3,9706,9606,9604,,9603,9601,9601,,,,,,,,,,,,,,,,,L1F,F1F,F1F, ,F1C,P1F,P1F, , , , , , , , , , , , , , , , ,9,9702,25,8,23,,,,9604,9602,9603,,,,,,,,,,,,,,,,,,,,10,3,15,,,,,,,,,,,,,,,,,48,5,3,3,9602,15,9603,10,9701,9602,9603,1,9.6,2824,0,L,1,F,X,X,X,3,A
9601,MWD,0,CA,90280, , ,5901,0, , , , ,XXXX,U2,06,39,I,H, , , , ,1,4,M,,0,,,,,,,,,,,,,,,2,0,16,13,51,7,1,3, , , ,, , , , , , , , , , , , , , , , , , , , , ,1153,261,307,99,0,0,52,48,51,2,0,1,75,0,0,0,0,0,0,0,57,1,4,14,28,39,43,32,43,48,33,34,41,26,16,24,20,14,8,10,8,12,15,32,24,17,32,9,27,14,20,67,50,32,18,56,8,6,30,303,362,88,83,2,10,8,0,0,0,0,1693,1678,6,6,79,21,97,3,0,52,85,68,43,93,7,10,4,6,8,14,1,10,28,12,1,1,0,17,68,92,97,98,1,12,32,48,46,19,8,10,0,0,13,7,0,0,60,87,95,99,4480,13,803,351,343,404,403,9350,8,14,28,30,11,9,0,0,0,6,19,28,27,12,9,0,0,0,22,13,22,3,49,51,12,62,25,5,5,0,0,0,8,0,0,18,32,38,15,79,71,79,58,75,51,60,62,24,99,7,12,14,0,9,10,0,0,6,2,13,22,2,10,1,0,1,41,4,0,11,12,2,6,1,3,6,6,5,0,7,1,3,2,77,10,0,120,25,22,24,12,6,9,1,2,45,2,37,7,0,0,0,9,16,0,13,21,51,9,0,2,0,2,0,0,1,3,0,0,0,0,1,1,0,44,36,32,63,4,1,90,72,30,5,44,0,0,0,0,3,97,0,0,80,7,10,0,0,0,99,0,97,99,98,12,2,5,4,9706,9606,9604,,9603,9602,9512,,,9509,9508,,,,,,,,,,,,,L1F,F1F,F1F, ,F1F,F1F,F1F, , ,P1F,P1F, , , , , , , , , , , , ,5,9702,12,3,8,,,,,,,,,9510,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,15,1,0,15,9510,15,9510,15,9510,9510,,,15,145014,0,L,1,F,X,X,X,28,A
